A-D|Analog to Digital
AA|Author's Alteration
AA|Auto Answer
AAL5|ATM Adaption Layer 5
ABEND|Abnormal End
ABI|Application Binary Interface
ABR|Available Bit Rate
AC97|Audio Codec 97
ACB|Access method Control Block
ACDS|Active Control Data Set
ACE|Asynchronous Communications Element
ACF|Advanced Communication Facility
ACIA|Asynchronous Communications Interface Adapter
ACK|Acknowledge
ACS|Asynchronous Connection Server
ACS|Automatic Class Selection
ACSE|Application Control Service Element
ACT|Application Control Table
ACU|Automatic Calling Unit
ADC|Analog Digital Converter
ADDMD|Administrative Directory Management Domain
ADMD|Administrative Management Domain
ADO|ActiveX Data Object
ADSL|Asymetric Digital Subscriber Line
AEA|Activity End Acknowledge
AEI|Application Entity Invocation
AF|Application Framework
AFP|Advanced Function Printing
AGP|Accellerated Graphics Port
AGS|Advanced Graphics System
AI|Artificial Intelligence
AIU|Application Interface Unit
AIX|Advanced Interactive eXecutive
AIX|Alternate IndeX
ALGOL|ALGOrithmic Language
ALS|Application Layer Structure
ALS|Automatic Line Switching
ALT|Application Load Table
ALU|Arithmetic and Logic Unit
AM|Access Method
AMH|Automated Material Handling
AMI|Alternate Mark Inversion
AMIS|Audio Messaging Interchange Specification
AMR|Audio Modem Riser
AMS|Access Method Services
ANR|Automatic Network Routing
ANS|Advanced Network Services
ANSI|American National Standards Institute
AOCE|Apple Open Collaboration Environment
AOW|Asian and Oceanic Workshop for open systems
AP|Access Point
AP|Automation Protocol
APA|All Points Addressable
APDU|Application Protocol Data Unit
API|Application Programming Interface
APIA|API Association
APL|A Programming Language
APPC|Advanced Program-to-Program Communication
APPI|Advanced Peer-to-Peer Internetwork(ing)
APPN|Advanced Peer-to-Peer Network(ing)
APS|Advanced Production System
AR|Attention Routine
ARP|Address Resolution Protocol
ARPA|Advanced Research Projects Agency
ARPANET|Advanced Research Projects Agency Network
ARU|Audio Response Unit
AS|Activity Start
AS|Autonomous System
ASC|Accredited Standards Committee
ASCII|American Standard Code for Information Interchange
ASE|Application Service Element
ASIC|Application-Specific Integrated Circuit
ASN|Abstract Syntax Notation
ASN.1|Abstract Syntax Notation One
ASO|Application Service Object
ASP|Active Server Pages
ASR|Automatic Speech Recognition
ASTs|Asynchronous System Traps
AT|Advanced Technology
ATM|Adobe Type Manager
ATM|Asynchronous Transfer Mode
ATM|Automatic Teller Machine
ATMP|Ascend Tunnel Management Protocol
ATSF|Alert Transport Service Facility
AU|Access Unit
AVR|Automatic Volume Recognition
AWG|American Wire Gauge

B8ZS|Binary Eight Zero Substitution
BABT|British Approvals Board for Telecommunications
BAL|Business Application Language
BAM|Basic Access Methods
BAS|Basic Activity Subset
BASH|Bourne-Again SHell
BASIC|Beginners All-Purpose Symbolic Instruktion Code
BBS|Bulletin Board System
BCC|Block Check Character
BCD|Binary Coded Decimal
BCF|Bridge Control Facility
BCPL|Basic Combined Programming Language
BCS|Basic Catalog Structure
BCS|Basic Combined Subset
BDAM|Basic Direct Access Method
BDR|Basic Density Range
BEL|Bell
BER|Bit Error Rate
BES|Bursty Errored Seconds
BG|BackGround
BHT|Branch History Table
BIOS|Basic Input/Output System
BIS|Business Information System
BISYNC|Binary Synchronous Communication
BIT|Binary Digit
BITNIC|Bitnet Network Information Center
BLOB|Binary Large Object
BMIC|Bus Master Interface Controller
BMP|BitMaP
BMS|Basic Mapping Support
BNN|Boundary Network Node
BOC|Bell Operating Companies
BOT|Begin Of Tape
BP|Base Pointer
BPAM|Basic Partitioned Access Method
BPI|Bytes Per Inch
BPS|Bites Per Second
BRA|Basic Rate Access
BRI|Basic Rate Interface
BS|Backspace / British Standard
BSA|Basic Service Area
BSAM|Basic Sequential Access Method
BSC|Binary Synchronous Communication
BSD|Berkeley Software Distribution
BSDS|BootStrap Data Set
BSI|British Standards Institute
BSS|Basic Synchronous Subset
BTAC|Branch Target Address Cache
BTAM|Basic Teleprocessing Access Method
BTA-ES|Basic Teleprocessing Access Method - Extended Storage
BYP|Bypass

CA|Collision Avoidance
CA...|Computer Aided ...
CAA|Computer Aided Architecture
CAD|Computer Aided Design
CADD|Computer Aided Design and Drafting
CADIS|Computer Aided Design Interactive System
CAE|Common Application Environment
CAE|Computer Assisted Education, Computer Aided Engineering = CAD + 
|CAP + CAQ
CAH|Computer Aided Handling
CAI|Computer Aided Instruction = CIM + CAO
CAISE|Computer Aided Integrated Software Engineering
CALS|Computer Aided Acquisition and Logistic Support
CAM|Computer Aided Manufacturing / Content Adressable Memory
CAMAC|Computer Automated MeAsurement Control
CAN|Cancel
CAO|Computer Aided Office
CAP|Computer Aided Planning / Computer Aided Publishing
CAPP|Computer Aided Production Planning
CAPPC|Computer Aided Production Planning and Control
CAPSC|Computer Aided Production Scheduling and Control
CAQ|Computer Aided Quality Assurance
CAR|Computer Aided Roboting
CAR|Computer Assisted Radiology
CAS|Computer Aided Selling
CASE|Common Application Service Elements
CASE|Computer Aided Software-Engineering
CAT|Computer Aided Testing
CATV|CAble TeleVision
CBDS|Connectionless Broadband Data Service
CBEMA|Computer and Business Equipment Manufacturers' Association
CBR|Constant Bit Rate
CBT|Computer Based Training
CCD|Charge-Coupled Device
CCETT|Centre Commun d'Etudes de Telediffusion et Telecommunications
CCIR|International Radio Consultative Committee
CCITT|Comite Consultatif International Telegraphique et Telephonique
CCR|Committment, Concurrency and Recovery
CCS|Common Communication Support
CCTA|Central Computer and Telecommunications Agency
CCU|Communication Control Unit
CCW|Channel Command Word
CD|Collision Detection
CD|Compact Disk
CDB|Command Descriptor Block
CDC|Century Date Change
CDDA|Compact Disk - Digital Audio
CDDI|Copper Data Distribution Interface
CDE|Common Desktop Environment
CDG|Compact Disk - Graphic
CDI|Compact Disk Interactive
CDMA|Code Division Multiple Access
CDPD|Cellular Digital Packet Data
CDR|Copy Density Range
CDROM|Compact Disk ROM
CDTV|Commodore Total Vision
CDXA|Copmact Disk eXtended Architecture
CEC|Commission of European Communities
CEFIC|Conseil Europ&eacute;en des Federations de l'Industrie Chimique
CELP|Code Excited Linear Prediction
CEN|Comit&eacute; Europ&eacute;en de Normalisation
CENELEC|Comit&eacute; Europ&eacute;en de Normalisation Electrotechnique
CEO|Comprehensive Electronic Office
CEPT|Conference Europ&eacute;enne des Administrations des Postes et
|des Telecommunications
CERN|Conseil Europ&eacute;en pour la Recherche Nucl&eacute;aire
CF|Call Forwarding
CF|Carry Flag
CF|Control Function
CFV|Call For Votes
CGA|Colour Graphics Adapter
CGI|Common Gateway Interface
CGI|Computer Graphics Interface
CGM|Computer Graphics Metafile
